4	5	30	33	41	52
9	37	39	41	43	49
10	11	29	30	36	47
1	5	6	27	42	59
1	2	6	16	19	46
7	13	19	22	40	47
3	5	20	21	38	56
4	17	37	38	47	53
8	43	54	55	56	60
4	18	21	25	38	57
15	25	37	38	58	59
4	16	19	20	27	43
18	32	47	50	54	56
2	16	23	27	47	53
12	33	35	51	52	60
20	32	34	49	58	60
6	10	13	19	20	51
23	27	36	37	42	56
5	10	12	24	25	60
11	25	28	30	33	51
6	33	36	46	49	53
1	9	31	38	46	56
17	37	39	51	52	59
1	8	14	28	33	43
24	43	50	54	55	56
10	22	50	53	57	58
13	17	20	33	44	51
3	6	22	24	54	60
3	8	14	43	56	58
7	14	15	29	38	50
17	19	28	45	48	56
5	14	33	36	43	44
5	17	33	39	42	49
13	15	17	40	53	57
4	16	21	23	54	57
3	13	17	25	29	51
6	7	22	38	52	60
10	42	43	45	54	55
12	16	37	45	52	56
3	5	8	12	46	47
12	26	35	38	39	47
7	11	19	24	33	36
2	6	17	25	26	58
14	18	29	38	44	47
7	30	37	44	53	55
1	23	24	32	46	60
3	17	25	35	48	56
2	5	28	34	47	50
7	13	33	35	43	55
6	16	21	44	57	58
17	23	24	25	42	47
15	30	38	46	58	59
3	13	16	38	42	46
5	9	18	21	36	56
2	14	23	29	38	52
2	7	20	35	51	59
7	16	17	27	34	59
12	27	30	37	44	49
2	8	13	28	34	54
3	14	15	20	21	38
8	18	29	42	44	59
6	8	13	24	31	52
9	25	26	40	41	49
8	12	23	50	54	60
1	5	20	25	32	34
12	13	15	26	33	48
12	14	17	27	47	52
1	3	12	13	53	59
25	34	45	53	56	58
17	23	27	40	43	58
16	27	33	43	45	53
1	19	34	43	44	48
25	26	28	45	51	57
2	24	34	37	38	50
21	24	35	36	37	49
8	17	18	23	33	53
21	29	40	49	54	57
12	22	25	31	32	46
2	13	17	25	31	43
23	28	37	40	48	51
10	23	41	47	54	60
15	18	29	36	51	53
4	15	16	24	42	57
4	6	10	25	34	40
6	15	30	37	45	47
6	21	22	34	36	54
4	5	11	28	32	40
4	18	29	37	43	45
13	34	42	44	55	59
9	21	26	40	52	54
2	4	10	35	39	60
1	3	5	23	24	51
2	22	28	31	36	53
8	18	28	51	52	55
6	40	45	46	50	60
4	7	26	40	42	58
5	11	14	35	53	56
13	14	31	33	35	43
11	24	30	33	46	60
14	29	30	46	48	51
1	18	29	31	37	39
19	20	37	42	44	56
1	7	9	49	54	57
1	4	13	21	38	52
3	13	31	43	46	49
5	16	24	35	38	39
2	4	16	24	51	52
21	24	29	34	59	60
1	13	44	48	49	54
18	31	43	52	57	58
4	22	25	32	33	52
12	20	34	37	42	43
7	26	28	34	54	55
6	12	18	37	47	54
4	6	14	20	24	38
5	13	32	36	42	51
20	25	27	33	42	53
9	22	25	37	56	57
1	21	36	38	47	50
3	16	27	40	45	46
2	29	41	44	53	55
11	17	20	39	43	53
13	14	16	26	32	42
5	15	34	41	52	57
25	41	47	53	56	59
6	10	11	28	32	40
21	29	50	51	54	59
3	9	18	21	23	43
1	9	10	32	46	54
13	29	38	42	49	53
4	9	17	27	30	44
7	9	35	41	44	50
5	6	19	34	39	57
4	25	32	36	52	60
21	22	35	40	53	59
1	17	25	38	45	59
15	16	19	22	26	49
5	14	27	37	40	41
3	13	26	27	41	42
7	31	41	44	46	55
10	13	22	41	42	58
8	15	19	20	54	59
6	18	20	40	50	53
8	32	36	44	45	55
15	16	31	41	43	51
25	32	34	42	51	60
6	16	23	24	28	38
32	35	41	55	58	59
7	11	20	28	45	48
12	44	50	52	54	55
3	16	20	43	52	56
5	12	15	29	51	58
2	30	31	42	45	47
8	10	24	33	45	48
12	30	32	35	43	44
17	23	42	49	52	55
4	13	17	21	41	44
4	14	17	43	51	58
9	11	16	35	50	58
2	13	42	52	54	58
6	25	30	37	39	41
21	23	33	38	48	51
8	27	36	41	53	56
4	10	14	19	28	44
10	19	23	35	39	56
12	13	22	57	59	60
1	11	28	33	38	48
2	9	31	35	45	50
1	13	21	37	51	52
7	41	46	51	55	58
4	27	40	43	46	54
10	14	26	35	36	49
17	28	29	42	49	50
11	22	23	36	52	59
1	10	13	20	42	50
1	3	4	28	45	53
22	35	38	39	41	59
5	15	19	26	27	33
5	6	23	26	27	53
6	23	29	39	51	60
1	27	33	35	51	55
3	5	10	28	46	60
2	7	11	16	40	44
9	16	21	34	41	60
17	22	43	46	55	59
14	23	24	25	26	51
6	36	41	44	48	58
17	27	34	42	43	46
4	15	31	38	41	53
5	10	21	32	40	42
1	3	5	23	41	58
1	26	28	41	54	60
4	11	12	19	43	49
25	28	32	33	42	43
3	9	17	32	37	44
7	9	14	17	24	32
5	12	15	19	29	52
1	8	18	23	35	40
10	16	37	50	52	57
12	15	19	34	44	51
5	20	22	30	35	55
12	24	44	45	49	53
11	19	29	44	47	55
29	31	39	41	51	58
26	32	40	43	46	54
18	20	26	34	51	56
3	7	19	24	53	55
15	23	24	25	47	57
13	21	26	32	41	52
20	32	37	38	48	58
10	20	33	40	45	50
6	15	29	45	57	59
3	9	23	30	32	35
6	12	30	31	35	50
7	28	37	46	53	58
14	18	30	35	42	59
3	27	32	45	49	51
12	17	40	42	47	54
23	26	28	36	42	49
13	14	36	53	55	60
13	27	43	50	54	58
5	19	30	48	52	55
2	6	22	24	28	58
7	16	18	20	21	44
2	4	16	21	37	58
1	2	38	49	50	59
11	26	27	37	42	48
13	16	40	43	45	59
11	13	21	33	39	45
8	40	41	44	53	56
16	27	36	42	44	59
19	22	29	37	41	59
3	7	24	32	36	45
15	25	41	42	45	54
2	22	29	31	41	55
10	25	50	52	57	60
7	31	36	45	56	57
9	13	15	37	41	42
6	21	33	44	46	47
25	28	38	41	57	59
11	31	35	40	56	57
4	7	21	22	28	56
11	16	20	23	32	47
19	24	33	47	50	60
8	27	44	51	53	60
2	16	32	37	43	57
3	10	23	30	34	46
16	32	34	35	41	56
21	36	40	49	54	55
7	25	41	42	43	55
15	23	30	34	49	55
4	17	26	32	51	54
11	12	24	37	44	56
1	4	21	22	30	56
16	19	20	32	44	55
2	21	26	32	34	52
1	4	5	19	28	34
7	12	50	54	55	60
13	15	20	33	43	58
4	6	33	43	59	60
5	16	20	30	54	56
11	20	48	53	58	60
8	9	26	43	50	53
1	5	13	25	31	33
7	16	34	41	50	53
2	23	38	46	48	54
1	8	45	46	55	58
5	6	10	21	33	47
17	18	19	25	49	52
5	9	27	35	40	45
14	24	26	29	31	54
9	10	24	36	56	58
10	17	23	27	47	52
11	13	18	26	39	47
16	19	30	37	38	48
22	39	45	53	57	59
4	26	38	40	52	56
10	15	18	22	31	55
4	23	31	47	58	59
5	16	20	25	30	58
5	11	31	38	47	53
9	14	23	24	33	36
25	28	34	42	48	54
7	8	14	30	32	36
12	32	37	41	50	56
29	35	37	44	47	56
3	13	25	33	47	60
6	9	11	17	18	50
6	7	20	25	30	36
7	25	26	30	40	57
5	16	17	18	22	41
13	23	24	34	45	53
5	6	7	12	28	35
22	25	28	41	45	57
7	12	24	31	44	50
3	20	42	46	51	52
1	20	28	33	36	41
5	22	23	24	34	60
2	5	7	33	49	53
24	27	28	38	41	57
9	26	48	49	57	58
12	25	30	40	41	60
7	13	17	30	37	47
7	11	34	41	42	59
5	11	27	38	53	60
19	30	41	47	56	57
13	16	17	26	41	44
4	11	25	29	39	55
4	11	25	39	50	55
2	14	28	29	31	32
22	24	30	32	38	41
14	23	30	41	47	50
14	16	24	37	38	53
5	32	34	37	40	58
12	21	22	28	43	50
6	24	28	43	51	56
16	20	27	30	35	48
3	19	20	31	40	53
12	16	17	19	23	48
20	22	27	47	50	53
4	11	31	32	48	49
11	18	29	44	47	56
26	31	33	40	49	54
8	15	22	25	30	47
1	3	4	21	23	53
21	23	40	44	51	52
29	32	33	38	46	48
5	7	14	21	23	51
10	11	12	24	35	40
2	4	14	23	37	51
1	13	20	27	35	37
23	28	29	34	42	44
4	27	35	44	52	53
14	23	24	26	41	51
7	23	33	43	57	59
2	18	22	26	30	54
4	14	16	31	52	54
1	4	9	36	46	48
5	12	13	16	27	50
9	10	12	33	42	60
5	16	22	23	43	56
16	29	34	49	51	54
4	6	7	12	24	41
10	12	14	33	35	36
11	22	46	51	56	58
7	12	41	46	56	60
1	10	12	26	48	52
19	30	33	39	40	52
8	9	28	32	38	54
10	15	23	30	43	57
15	16	24	41	59	60
7	20	25	44	47	49
19	23	30	46	55	60
7	16	38	40	41	52
2	14	22	23	37	60
5	19	21	54	56	58
2	30	32	35	45	53
12	17	21	32	40	42
13	19	20	29	31	54
23	24	29	47	53	55
16	28	31	41	45	59
7	20	33	37	46	56
19	29	39	47	49	54
5	29	44	51	57	59
19	23	34	37	52	58
4	6	7	15	21	51
10	12	27	33	49	52
13	29	32	38	44	50
1	14	21	35	42	60
1	4	40	42	51	54
4	18	23	33	39	60
16	17	24	39	46	57
1	5	10	24	31	33
2	5	16	26	44	54
1	5	9	42	51	58
10	13	25	35	43	48
3	12	19	27	45	46
5	38	41	45	48	55
24	33	40	41	55	59
13	22	30	31	47	57
9	10	28	46	55	56
31	34	37	38	53	54
14	22	48	50	53	56
24	28	40	47	50	52
5	12	16	18	22	24
17	35	36	39	43	54
22	28	29	43	47	48
23	36	48	52	53	58
5	14	18	43	46	54
7	12	22	34	38	53
4	7	15	16	35	40
15	23	31	39	47	49
6	12	35	36	40	50
5	15	35	42	45	49
10	11	14	20	31	58
6	18	34	42	45	47
1	2	5	24	32	46
7	16	22	28	36	37
11	16	27	47	55	59
10	13	28	29	54	59
11	18	43	44	50	53
5	16	27	43	56	58
7	16	27	31	46	60
1	24	28	38	40	58
24	29	34	47	57	60
2	12	32	38	47	48
2	18	22	49	51	57
14	28	33	44	49	56
18	25	26	31	34	49
8	24	31	36	38	55
10	12	31	38	45	56
5	12	14	21	45	59
2	4	29	33	35	53
16	26	35	45	52	58
1	4	27	38	42	44
1	13	23	33	54	56
7	12	21	25	34	42
8	15	32	45	49	52
9	16	41	42	52	53
12	29	30	43	57	59
5	35	37	38	45	51
12	37	43	55	56	60
8	22	32	33	40	53
18	27	29	36	46	59
6	10	16	34	42	47
7	30	32	37	50	54
3	13	14	24	43	51
8	28	30	32	46	60
17	26	32	36	43	55
8	10	21	25	38	50
26	37	40	47	52	58
4	13	17	27	39	50
16	17	28	30	36	54
4	10	17	24	30	54
10	11	17	31	37	43
1	6	7	29	48	57
7	10	30	44	54	59
3	5	11	14	38	48
13	20	29	42	43	57
3	5	23	30	46	47
2	10	15	21	58	59
6	15	23	31	37	59
11	17	26	36	48	52
3	24	33	48	52	57
7	20	31	32	50	53
8	11	12	17	20	47
15	24	25	33	42	55
3	5	9	45	51	52
1	8	24	34	49	56
1	9	13	50	51	59
17	18	23	28	31	53
11	16	30	36	51	54
8	20	23	34	52	58
4	17	24	42	46	56
2	14	15	17	50	59
3	17	22	27	33	40
15	17	24	27	32	48
13	24	32	34	43	53
8	15	17	39	43	49
19	23	30	37	49	55
15	17	20	29	30	60
17	19	22	26	27	48
2	3	7	18	45	53
6	24	33	38	45	50
1	22	31	46	51	57
11	16	28	29	30	45
8	18	21	22	38	60
5	6	23	25	39	51
13	21	26	29	42	47
8	11	23	37	51	58
5	31	32	36	51	59
3	4	12	29	38	51
7	23	41	49	51	58
3	12	32	34	40	50
6	8	19	22	43	52
17	20	38	43	55	58
6	8	18	34	38	47
3	8	21	25	30	31
20	26	41	46	54	58
14	33	36	38	41	49
6	13	22	24	42	44
12	13	33	53	54	56
16	18	23	35	44	59
